,2018,2019,2020,2021,2022
서울특별시 종로구,3007628,3132557.615,3221530.598,3405644.306,3618628.304
서울특별시 중구,3120706,3250332.603,3342650.709,3533686.553,3754678.125
서울특별시 용산구,2539369,2644848.266,2719969.003,2875417.963,3055242.383
서울특별시 성동구,2476470,2579336.593,2652596.624,2804195.185,2979565.437
서울특별시 광진구,1997491,2080461.96,2139552.623,2261830.203,2403281.745
서울특별시 동대문구,2033946,2118431.213,2178600.303,2303109.498,2447142.587
서울특별시 중랑구,1795134,1869699.538,1922803.986,2032694.165,2159815.875
서울특별시 성북구,1822824,1898539.714,1952463.3,2064048.538,2193131.105
서울특별시 강북구,1655036,1723782.205,1772742.212,1874056.21,1991256.935
서울특별시 도봉구,1679599,1749365.493,1799052.134,1901869.77,2020809.914
서울특별시 노원구,1782631,1856677.194,1909411.773,2018536.573,2144772.888
서울특별시 은평구,1736519,1808649.812,1860020.286,1966322.313,2089293.225
서울특별시 서대문구,2288074,2383115.077,2450801.895,2590867.684,2752896.747
서울특별시 마포구,2455158,2557139.344,2629768.914,2780062.848,2953923.899
서울특별시 양천구,1963020,2044559.118,2102630.044,2222797.462,2361807.954
서울특별시 강서구,2503888,2607893.47,2681964.593,2835241.563,3012553.41
서울특별시 구로구,2348314,2445857.302,2515326.165,2659079.581,2825374.517
서울특별시 금천구,2548108,2653950.263,2729329.521,2885313.444,3065756.713
서울특별시 영등포구,3182411,3314600.68,3408744.17,3603557.322,3828918.51
서울특별시 동작구,2097330,2184448.031,2246492.175,2374881.459,2523403.061
서울특별시 관악구,1823791,1899546.881,1953499.073,2065143.507,2194294.551
서울특별시 서초구,3009448,3134453.214,3223480.036,3407705.157,3620818.037
서울특별시 강남구,2759031,2873634.495,2955253.371,3124149.069,3319528.768
서울특별시 송파구,2483148,2586291.981,2659749.564,2811756.922,2987600.074
서울특별시 강동구,2308384,2404268.706,2472556.343,2613865.42,2777332.728
부산광역시 중구,2427117,2508691.685,2564335.345,2679134.157,2828102.497
부산광역시 서구,1962555,2028515.894,2073509.086,2166334.847,2286789.923
부산광역시 동구,2256578,2332420.92,2384154.832,2490887.418,2629388.644
부산광역시 영도구,2219032,2293613.01,2344486.149,2449442.868,2585639.646
부산광역시 부산진구,2025964,2094056.051,2140502.947,2236327.854,2360674.763
부산광역시 동래구,1899069,1962896.148,2006433.871,2096256.845,2212815.361
부산광역시 남구,2335888,2414396.505,2467948.665,2578432.489,2721801.498
부산광역시 북구,1726353,1784375.214,1823953.281,1905607.059,2011564.844
부산광역시 해운대구,2031148,2099414.284,2145980.028,2242050.129,2366715.215
부산광역시 사하구,2054407,2123455.012,2170553.987,2267724.203,2393816.848
부산광역시 금정구,1964808,2030844.616,2075889.461,2168821.785,2289415.142
부산광역시 강서구,2760255,2853026.355,2916307.478,3046863.193,3216278.432
부산광역시 연제구,1943907,2009241.14,2053806.811,2145750.551,2265061.075
부산광역시 수영구,1848566,1910695.757,1953075.658,2040509.918,2153968.73
부산광역시 사상구,2224061,2298811.033,2349799.466,2454994.049,2591499.49
부산광역시 기장군,2213594,2287992.24,2338740.709,2443440.219,2579303.231
대구광역시 중구,1960344,2031798.168,2080909.083,2182449.216,2323919.621
대구광역시 동구,2103605,2180281.005,2232980.921,2341941.559,2493750.553
대구광역시 서구,1949831,2020901.971,2069749.512,2170745.103,2311456.825
대구광역시 남구,1756888,1820926.236,1864940.131,1955941.834,2082729.61
대구광역시 북구,1971452,2043311.053,2092700.247,2194815.743,2337087.768
대구광역시 수성구,1910259,1979887.579,2027743.755,2126689.631,2264545.596
대구광역시 달서구,2144833,2223011.757,2276744.526,2387840.655,2542624.913
대구광역시 달성군,2359960,2445980.096,2505102.267,2627341.351,2797650.488
인천광역시 중구,2478842,2562889.314,2620848.735,2713509.975,2912614.739
인천광역시 동구,2731778,2824401.331,2888274.814,2990391.019,3209812.028
인천광역시 미추홀구,1870321,1933735.875,1977467.07,2047381.273,2197608.605
인천광역시 연수구,2370834,2451219.208,2506653.223,2595277.032,2785706.411
인천광역시 남동구,2263479,2340224.242,2393148.121,2477758.907,2659565.352
인천광역시 부평구,2196903,2271390.924,2322758.146,2404880.265,2581339.213
인천광역시 계양구,1822802,1884605.702,1927225.824,1995363.726,2141774.252
인천광역시 서구,2223604,2298997.245,2350988.78,2434109.005,2612712.623
인천광역시 강화군,1888932,1952977.897,1997144.248,2067754.147,2219476.346
인천광역시 옹진군,1821610,1883373.286,1925965.537,1994058.882,2140373.664
광주광역시 동구,2028054,2107674.486,2169034.433,2281092.895,2541277.217
광주광역시 서구,2157469,2242170.26,2307445.733,2426654.915,2703442.224
광주광역시 남구,1799856,1870517.535,1924973.22,2024422.788,2255330.996
광주광역시 북구,1918399,1993714.48,2051756.752,2157756.316,2403872.714
광주광역시 광산구,2180461,2266064.916,2332036.025,2452515.611,2732252.624
대전광역시 동구,2187359,2266284.903,2325788.074,2437496.856,2597481.796
대전광역시 중구,1819046,1884682.162,1934166.039,2027065.016,2160111.29
대전광역시 서구,1935030,2004851.182,2057490.196,2156312.494,2297841.918
대전광역시 유성구,2540552,2632222.074,2701333.225,2831079.632,3016897.35
대전광역시 대덕구,2611131,2705347.758,2776378.884,2909729.772,3100709.686
울산광역시 중구,2261679,2284329.273,2244248.138,2348636.352,2385172.228
울산광역시 남구,2388351,2412269.868,2369943.871,2480178.655,2518760.83
울산광역시 동구,2968507,2998236.017,2945628.582,3082640.575,3130594.772
울산광역시 북구,2385524,2409414.556,2367138.659,2477242.962,2515779.469
울산광역시 울주군,2528967,2554294.11,2509476.137,2626201.079,2667054.809
세종특별자치시,2262502,2408949.012,2518078.429,2680483.624,2849763.113
경기도 수원시,2746762,2854306.455,2926002.758,3080888.665,3165583.344
경기도 성남시,2678404,2783272.022,2853184.037,3004215.336,3086802.239
경기도 의정부시,1742987,1811230.476,1856726.127,1955010.624,2008754.532
경기도 안양시,2360169,2452577.111,2514182.519,2647269.01,2720043.337
경기도 부천시,2017712,2096711.832,2149378.387,2263154.227,2325369.107
경기도 광명시,2160589,2245182.92,2301578.867,2423411.333,2490031.736
경기도 평택시,2604783,2706768.526,2774758.877,2921638.795,3001955.641
경기도 동두천시,1841616,1913721.115,1961791.191,2065637.234,2122422.305
경기도 안산시,2392167,2485827.935,2548268.558,2683159.369,2756920.334
경기도 고양시,1976996,2054401.672,2106005.453,2217485.376,2278444.805
경기도 과천시,2452834,2548870.24,2612894.4,2751206.136,2826837.73
경기도 구리시,1859065,1931853.298,1980378.831,2085208.797,2142531.897
경기도 남양주시,1883134,1956864.676,2006018.46,2112205.643,2170270.895
경기도 오산시,2091623,2173516.683,2228112.471,2346056.044,2410549.924
