년월,시도청,경찰서,경찰관 정원
Jul-23,서울,서울중부,502
Jul-23,서울,서울종로,596
Jul-23,서울,서울남대문,481
Jul-23,서울,서울서대문,656
Jul-23,서울,서울혜화,449
Jul-23,서울,서울용산,798
Jul-23,서울,서울성북,511
Jul-23,서울,서울동대문,805
Jul-23,서울,서울마포,895
Jul-23,서울,서울영등포,980
Jul-23,서울,서울성동,625
Jul-23,서울,서울동작,667
Jul-23,서울,서울광진,731
Jul-23,서울,서울서부,456
Jul-23,서울,서울강북,669
Jul-23,서울,서울금천,575
Jul-23,서울,서울중랑,756
Jul-23,서울,서울강남,908
Jul-23,서울,서울관악,909
Jul-23,서울,서울강서,939
Jul-23,서울,서울강동,760
Jul-23,서울,서울종암,400
Jul-23,서울,서울구로,750
Jul-23,서울,서울서초,755
Jul-23,서울,서울양천,740
Jul-23,서울,서울송파,1049
Jul-23,서울,서울노원,797
Jul-23,서울,서울방배,354
Jul-23,서울,서울은평,458
Jul-23,서울,서울도봉,562
Jul-23,서울,서울수서,667
Jul-23,부산,부산중부,321
Jul-23,부산,부산동래,536
Jul-23,부산,부산영도,358
Jul-23,부산,부산동부,396
Jul-23,부산,부산진,853
Jul-23,부산,부산서부,348
Jul-23,부산,부산남부,735
Jul-23,부산,부산해운대,729
Jul-23,부산,부산사상,513
Jul-23,부산,부산금정,513
Jul-23,부산,부산사하,587
Jul-23,부산,부산연제,554
Jul-23,부산,부산강서,345
Jul-23,부산,부산북부,471
Jul-23,부산,부산기장,343
Jul-23,대구,대구중부,413
Jul-23,대구,대구동부,631
Jul-23,대구,대구서부,451
Jul-23,대구,대구남부,386
Jul-23,대구,대구북부,425
Jul-23,대구,대구수성,655
Jul-23,대구,대구달서,455
Jul-23,대구,대구성서,558
Jul-23,대구,대구달성,398
Jul-23,대구,대구강북,381
Jul-23,인천,인천중부,567
Jul-23,인천,인천미추홀,770
Jul-23,인천,인천남동,554
Jul-23,인천,인천논현,424
Jul-23,인천,인천부평,486
Jul-23,인천,인천삼산,477
Jul-23,인천,인천서부,746
Jul-23,인천,인천계양,488
Jul-23,인천,인천연수,508
Jul-23,인천,인천강화,221
Jul-23,광주,광주광산,618
Jul-23,광주,광주동부,378
Jul-23,광주,광주서부,572
Jul-23,광주,광주남부,374
Jul-23,광주,광주북부,707
Jul-23,대전,대전중부,462
Jul-23,대전,대전동부,447
Jul-23,대전,대전서부,395
Jul-23,대전,대전대덕,340
Jul-23,대전,대전둔산,440
Jul-23,대전,대전유성,481
Jul-23,울산,울산중부,398
Jul-23,울산,울산남부,638
Jul-23,울산,울산동부,327
Jul-23,울산,울산북부,333
Jul-23,울산,울산울주,393
