Year,Regn,Aslt,Fraud,Drug,Thief,Popln,Incme,StnNo,Police,Float,Unemp,CPI,Aging,Dens,Estab,Multi,Crime_Aslt,Crime_Fraud,Crime_Drug,Crime_Thief,Crime
2023,경기고양,2178,5695,223,2786,1087607,2530948,18,590,1101,3.4,129.2,147.1,4055.964945,76,6717,200.2561587,523.6266409,20.50372975,256.1587044,1000.545234
2023,경기과천,90,259,11,271,81219,3140116,2,179,77,2.7,129.2,96.6,2264.259827,0,258,110.8115096,318.8908999,13.54362895,333.6657679,776.9118064
2023,경기광명,674,1679,42,968,283124,2765984,6,497,294,3.6,129.2,144.4,7350.051921,145,1885,238.058236,593.0263771,14.83448948,341.8996623,1187.818765
2023,경기광주,1071,1988,53,1012,404270,2754320,9,475,447,3.4,129.2,132.7,938.0032019,35,3736,264.9219581,491.7505627,13.11005021,250.3277513,1020.110322
2023,경기구리,400,886,35,538,188634,2379973,5,376,200,2.6,129.2,154.1,5657.888422,184,1013,212.0508498,469.6926323,18.55444936,285.208393,985.5063244
2023,경기군포,460,1394,15,944,267009,2794699,5,409,284,3.5,129.2,161.8,7331.383855,97,2501,172.278837,522.0797801,5.617788164,353.5461351,1053.52254
2023,경기김포,1129,3193,61,1845,508800,2868579,12,552,533,2.3,129.2,93.6,1839.479393,149,4957,221.8946541,627.5550314,11.98899371,362.6179245,1224.056604
2023,경기남양주,1153,4093,88,1607,740780,2410786,17,899,756,2.1,129.2,128.5,1616.999913,108,4337,155.6467507,552.5257161,11.87937039,216.9335025,936.9853398
2023,경기동두천,293,651,24,380,92414,2357635,5,236,94,3.5,129.2,261.7,965.8653846,176,1125,317.051529,704.4387214,25.97009111,411.1931093,1458.653451
2023,경기부천,2003,6018,156,3682,806356,2583073,14,1208,841,4,129.2,175.5,15083.35204,458,11094,248.4014505,746.3204838,19.3462937,456.6221371,1470.690365
2023,경기성남,2114,5460,141,3463,935966,3428890,23,1022,959,3.3,129.2,154.5,6608.529266,285,6282,225.8629053,583.3545236,15.06464978,369.9920724,1194.274151
2023,경기수원,3178,8507,367,4959,1233431,3516402,23,1958,1296,4,129.2,114.2,10185.22709,305,10799,257.6552722,689.7021398,29.75440053,402.0492431,1379.161056
2023,경기시흥,1563,3524,190,1971,556903,3069363,12,786,607,3.9,129.2,84.8,3979.868506,279,9751,280.659289,632.7852427,34.11725202,353.9215986,1301.483382
2023,경기안산,1990,5194,177,2658,681529,3062450,22,1355,770,3.6,129.2,142.6,4355.652841,414,12398,291.9905096,762.1099029,25.97101517,390.0054143,1470.076842
2023,경기안성,464,1168,54,742,202849,3053611,10,350,242,2.4,129.2,190,366.5040562,77,2305,228.7415762,575.7977609,26.62078689,365.789331,1196.949455
2023,경기안양,1109,2582,78,1719,551112,3021486,10,943,576,3,129.2,154.2,9420.717949,343,3222,201.2295141,468.5073089,14.15320298,311.9148195,995.8048455
2023,경기양주,481,1290,59,524,276660,2597912,27,357,266,3.1,129.2,134.3,891.0144928,96,2480,173.8596111,466.2762958,21.32581508,189.4021543,850.8638762
2023,경기여주,196,1420,98,281,118536,2632536,11,286,128,1.8,129.2,262.5,194.8996202,36,1016,165.3506108,1197.948303,82.67530539,237.0587838,1683.033003
2023,경기오산,561,1762,42,990,239159,2677694,4,363,269,3.5,129.2,86.1,5602.225346,129,3621,234.5719793,736.7483557,17.56153856,413.9505517,1402.832425
2023,경기용인,1808,4504,140,2879,1094561,3175426,22,1126,1109,2.8,129.2,119.3,1851.297274,191,6126,165.1803783,411.4891724,12.79051602,263.0278258,852.4878924
2023,경기의왕,215,629,18,237,159932,2893528,4,241,166,2.4,129.2,149.6,2960.059226,16,711,134.4321337,393.2921492,11.25478328,148.1879799,687.167046
2023,경기의정부,1321,3349,155,1477,469936,2231370,7,785,480,2.8,129.2,164.1,5762.550582,238,3060,281.1021075,712.6502332,32.98321474,314.2981172,1341.033673
2023,경기이천,464,1633,52,679,231265,3704026,13,400,259,2.2,129.2,137.4,501.0182196,96,1908,200.6356344,706.11636,22.485028,293.6025771,1222.8396
