년도,시도청,경찰서,경찰관
2022년 12월,서울,서울중부경찰서,498
2022년 12월,서울,서울종로경찰서,592
2022년 12월,서울,서울남대문경찰서,478
2022년 12월,서울,서울서대문경찰서,651
2022년 12월,서울,서울혜화경찰서,446
2022년 12월,서울,서울용산경찰서,765
2022년 12월,서울,서울성북경찰서,508
2022년 12월,서울,서울동대문경찰서,796
2022년 12월,서울,서울마포경찰서,886
2022년 12월,서울,서울영등포경찰서,971
2022년 12월,서울,서울성동경찰서,620
2022년 12월,서울,서울동작경찰서,661
2022년 12월,서울,서울광진경찰서,723
2022년 12월,서울,서울서부경찰서,453
2022년 12월,서울,서울강북경찰서,663
2022년 12월,서울,서울금천경찰서,570
2022년 12월,서울,서울중랑경찰서,750
2022년 12월,서울,서울강남경찰서,885
2022년 12월,서울,서울관악경찰서,901
2022년 12월,서울,서울강서경찰서,931
2022년 12월,서울,서울강동경찰서,753
2022년 12월,서울,서울종암경찰서,397
2022년 12월,서울,서울구로경찰서,743
2022년 12월,서울,서울서초경찰서,737
2022년 12월,서울,서울양천경찰서,734
2022년 12월,서울,서울송파경찰서,1036
2022년 12월,서울,서울노원경찰서,791
2022년 12월,서울,서울방배경찰서,350
2022년 12월,서울,서울은평경찰서,453
2022년 12월,서울,서울도봉경찰서,557
2022년 12월,서울,서울수서경찰서,657
2022년 12월,부산,부산중부경찰서,318
2022년 12월,부산,부산동래경찰서,531
2022년 12월,부산,부산영도경찰서,355
2022년 12월,부산,부산동부경찰서,392
2022년 12월,부산,부산진경찰서,844
2022년 12월,부산,부산서부경찰서,345
2022년 12월,부산,부산남부경찰서,726
2022년 12월,부산,부산해운대경찰서,720
2022년 12월,부산,부산사상경찰서,509
2022년 12월,부산,부산금정경찰서,508
2022년 12월,부산,부산사하경찰서,582
2022년 12월,부산,부산연제경찰서,547
2022년 12월,부산,부산강서경찰서,342
2022년 12월,부산,부산북부경찰서,467
2022년 12월,부산,부산기장경찰서,339
2022년 12월,대구,대구중부경찰서,409
2022년 12월,대구,대구동부경찰서,625
2022년 12월,대구,대구서부경찰서,447
